"Data","Último","Abertura","Máxima","Mínima","Var%"
"25.05.2022","925,694","925,694","925,694","925,694","-0,04%"
"24.05.2022","926,062","926,062","926,062","926,062","-0,09%"
"23.05.2022","926,915","926,915","926,915","926,915","0,17%"
"20.05.2022","925,327","925,327","925,327","925,327","0,08%"
"19.05.2022","924,602","924,602","924,602","924,602","0,01%"
"18.05.2022","924,512","924,512","924,512","924,512","0,13%"
"17.05.2022","923,343","923,343","923,343","923,343","0,01%"
"16.05.2022","923,272","923,272","923,272","923,272","0,04%"
"13.05.2022","922,933","922,933","922,933","922,933","0,01%"
"12.05.2022","922,830","922,830","922,830","922,830","0,01%"
"11.05.2022","922,765","922,765","922,765","922,765","0,00%"
"10.05.2022","922,727","922,727","922,727","922,727","0,18%"
"09.05.2022","921,041","921,041","921,041","921,041","-0,03%"
"06.05.2022","921,338","921,338","921,338","921,338","0,04%"
"05.05.2022","921,003","921,003","921,003","921,003","-0,05%"
"04.05.2022","921,438","921,438","921,438","921,438","0,02%"
"03.05.2022","921,229","921,229","921,229","921,229","0,05%"
"02.05.2022","920,772","920,772","920,772","920,772","0,07%"
"29.04.2022","920,101","920,101","920,101","920,101","0,19%"
"28.04.2022","918,334","918,334","918,334","918,334","-0,03%"
"27.04.2022","918,622","918,622","918,622","918,622","0,09%"
"26.04.2022","917,812","917,812","917,812","917,812","0,16%"
"25.04.2022","916,380","916,380","916,380","916,380","0,05%"
"22.04.2022","915,913","915,913","915,913","915,913","-0,00%"
"21.04.2022","915,943","915,943","915,943","915,943","0,03%"
"20.04.2022","915,623","915,623","915,623","915,623","0,07%"
"19.04.2022","915,009","915,009","915,009","915,009","0,02%"
"18.04.2022","914,810","914,810","914,810","914,810","0,05%"
"15.04.2022","914,395","914,395","914,395","914,395","-0,00%"
"14.04.2022","914,417","914,417","914,417","914,417","0,06%"
"13.04.2022","913,851","913,851","913,851","913,851","0,04%"
"12.04.2022","913,530","913,530","913,530","913,530","0,12%"
"11.04.2022","912,419","912,419","912,419","912,419","-0,20%"
"08.04.2022","914,223","914,223","914,223","914,223","0,06%"
"07.04.2022","913,675","913,675","913,675","913,675","-0,00%"
"06.04.2022","913,679","913,679","913,679","913,679","0,04%"
"05.04.2022","913,348","913,348","913,348","913,348","-0,03%"
"04.04.2022","913,641","913,641","913,641","913,641","0,00%"
"01.04.2022","913,634","913,634","913,634","913,634","0,17%"
"31.03.2022","912,093","912,093","912,093","912,093","0,07%"
"30.03.2022","911,438","911,438","911,438","911,438","-0,03%"
"29.03.2022","911,680","911,680","911,680","911,680","0,07%"
"28.03.2022","911,070","911,070","911,070","911,070","0,17%"
"25.03.2022","909,535","909,535","909,535","909,535","0,07%"
"24.03.2022","908,855","908,855","908,855","908,855","0,09%"
"23.03.2022","908,045","908,045","908,045","908,045","0,02%"
"22.03.2022","907,890","907,890","907,890","907,890","0,03%"
"21.03.2022","907,647","907,647","907,647","907,647","0,01%"
"18.03.2022","907,549","907,549","907,549","907,549","0,12%"
"17.03.2022","906,423","906,423","906,423","906,423","0,19%"
"16.03.2022","904,678","904,678","904,678","904,678","-0,01%"
"15.03.2022","904,794","904,794","904,794","904,794","0,11%"
"14.03.2022","903,814","903,814","903,814","903,814","-0,03%"
"11.03.2022","904,054","904,054","904,054","904,054","-0,03%"
"10.03.2022","904,327","904,327","904,327","904,327","0,01%"
"09.03.2022","904,273","904,273","904,273","904,273","0,12%"
"08.03.2022","903,202","903,202","903,202","903,202","0,08%"
"07.03.2022","902,491","902,491","902,491","902,491","-0,07%"
"04.03.2022","903,115","903,115","903,115","903,115","-0,11%"
"03.03.2022","904,091","904,091","904,091","904,091","-0,05%"
"02.03.2022","904,568","904,568","904,568","904,568","-0,02%"
"01.03.2022","904,774","904,774","904,774","904,774","0,00%"
"28.02.2022","904,774","904,774","904,774","904,774","0,04%"
"25.02.2022","904,434","904,434","904,434","904,434","0,03%"
"24.02.2022","904,165","904,165","904,165","904,165","-0,02%"
"23.02.2022","904,314","904,314","904,314","904,314","0,08%"
"22.02.2022","903,631","903,631","903,631","903,631","0,01%"
"21.02.2022","903,506","903,506","903,506","903,506","0,08%"
